source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62005CJ0174,62012CJ0210,0.42496697029051955,tfidf,0,public health
62005CJ0174,62016CJ0325,0.4147849152713278,tfidf,0,public health
62005CJ0174,62013CJ0011,0.40615567798273267,tfidf,0,public health
62005CJ0174,62009CJ0363,0.3657827518690521,tfidf,0,public health
62005CJ0174,62009CJ0266,0.3630128755926483,tfidf,0,public health
62005CJ0174,61988CJ0125,0.3570981449448195,tfidf,0,public health
62005CJ0174,61996CJ0137,0.35011422264891706,tfidf,0,public health
62005CJ0174,61999CJ0258,0.32509301115211525,tfidf,0,public health
62005CJ0174,61994CJ0303,0.3004678225724527,tfidf,0,public health
62016CJ0078,61992CJ0249,0.4255722806933575,tfidf,0,public health
62016CJ0078,61998CJ0219,0.3467917784995385,tfidf,0,public health
62016CJ0078,61983CJ0037,0.3078723948397685,tfidf,0,public health
62016CJ0078,62002CJ0140,0.29798214829333963,tfidf,1,public health
62016CJ0078,62013CJ0011,0.2893513257983755,tfidf,0,public health
62016CJ0078,61996CJ0400,0.2794492398520445,tfidf,0,public health
62016CJ0078,61988CJ0125,0.27800630702456464,tfidf,0,public health
62016CJ0078,62009CJ0209,0.2737027215568562,tfidf,0,public health
62016CJ0078,61996CJ0100,0.2683688487442636,tfidf,0,public health
62016CJ0078,62009CJ0229,0.2591235022026909,tfidf,0,public health
62016CJ0078,62005CJ0138,0.2569538640618168,tfidf,0,public health
62016CJ0078,62007CJ0251,0.25428850479939774,tfidf,0,public health
62016CJ0078,62007CJ0317,0.25181192430230265,tfidf,0,public health
62016CJ0078,61989CJ0128,0.2496996618012478,tfidf,0,public health
62016CJ0078,62008CJ0346,0.2477743242427685,tfidf,0,public health
62016CJ0078,62006CJ0201,0.23685284302170706,tfidf,0,public health
62016CJ0078,62006CJ0260,0.23354478373936458,tfidf,0,public health
62016CJ0078,61998CJ0014,0.23155856120316506,tfidf,0,public health
62016CJ0078,62014CJ0242,0.23013748749821344,tfidf,0,public health
62016CJ0078,61975CJ0004,0.22965729218580705,tfidf,0,public health
61973CJ0039,61972CJ0029,0.546414171321606,tfidf,0,public health
61973CJ0039,61968CJ0024,0.3803735392539907,tfidf,0,public health
